subject,count,link
"picture postcards",2,"http://0.0.0.0:4000/playground-collection/browse.html#picture%20postcards"
"frank b. robinson",2,"http://0.0.0.0:4000/playground-collection/browse.html#frank%20b.%20robinson"
"universities",1,"http://0.0.0.0:4000/playground-collection/browse.html#universities"
"buildings",1,"http://0.0.0.0:4000/playground-collection/browse.html#buildings"
"campuses",1,"http://0.0.0.0:4000/playground-collection/browse.html#campuses"
"public buildings",1,"http://0.0.0.0:4000/playground-collection/browse.html#public%20buildings"
"county courthouses",1,"http://0.0.0.0:4000/playground-collection/browse.html#county%20courthouses"
"trees",1,"http://0.0.0.0:4000/playground-collection/browse.html#trees"
"failure",1,"http://0.0.0.0:4000/playground-collection/browse.html#failure"
"success",1,"http://0.0.0.0:4000/playground-collection/browse.html#success"
"material abundance",1,"http://0.0.0.0:4000/playground-collection/browse.html#material%20abundance"
"american football",1,"http://0.0.0.0:4000/playground-collection/browse.html#american%20football"
"poetry",1,"http://0.0.0.0:4000/playground-collection/browse.html#poetry"
"forestry",1,"http://0.0.0.0:4000/playground-collection/browse.html#forestry"
"fisheries management",1,"http://0.0.0.0:4000/playground-collection/browse.html#fisheries%20management"
"pacific photo co.",1,"http://0.0.0.0:4000/playground-collection/browse.html#pacific%20photo%20co."
"spokane post card co.",1,"http://0.0.0.0:4000/playground-collection/browse.html#spokane%20post%20card%20co."
"vandal athletics",1,"http://0.0.0.0:4000/playground-collection/browse.html#vandal%20athletics"
"devin becker",1,"http://0.0.0.0:4000/playground-collection/browse.html#devin%20becker"
"thompson, j. b.",1,"http://0.0.0.0:4000/playground-collection/browse.html#thompson,%20j.%20b."
"reischel, t.s.",1,"http://0.0.0.0:4000/playground-collection/browse.html#reischel,%20t.s."
"bjornn, t.c.",1,"http://0.0.0.0:4000/playground-collection/browse.html#bjornn,%20t.c."
